1.112825684608997751e-01,4.872963617223994293e-01,2.861157334558118597e-24,0.000000000000000000e+00
1.063995052932360380e-01,4.582328392000135642e-01,2.201569802569462823e-28,0.000000000000000000e+00
6.990278521649004317e-02,5.065943450393909364e-01,4.601047707942991655e-31,0.000000000000000000e+00
1.131755697808418393e-01,5.185406586495425740e-01,7.501120102249013923e-22,0.000000000000000000e+00
2.017961347151212836e-01,7.711012943163897404e-01,1.603022640050928152e-18,1.000000000000000000e+00
1.706520339326690894e-01,6.650230579281377619e-01,1.934275971497229624e-32,1.000000000000000000e+00
1.604164700174813274e-01,6.098838403444631906e-01,1.113432916989809236e-18,1.000000000000000000e+00
1.531302115565094657e-01,6.038730688313617145e-01,3.729740347654758806e-20,1.000000000000000000e+00
1.163038488896035906e-12,1.319026986790897161e-14,1.167986167927249493e-13,2.000000000000000000e+00
4.707731446411481113e-02,9.888500236410271427e-01,2.985638228329115554e-31,2.000000000000000000e+00
5.740063762974502437e-02,3.896664757042228033e-01,2.502919515601107895e-32,2.000000000000000000e+00
1.954747008673619419e-14,1.916016440932973735e-16,1.967910985438606548e-15,2.000000000000000000e+00
